term,genes,logFC_TR,logFC_gene
Arnt,Iqsec2,0.0,1.0722092871829698
Arnt,Mprip,0.0,0.7106351234667679
Arnt,Sertad3,0.0,9.81153668682666
Arnt,Txndc5,0.0,-0.998797927501698
Arnt,Eif4g3,0.0,0.7429501520534209
Arnt,Ctdsp2,0.0,1.36113020848696
Arnt,Ctnna1,0.0,0.662517628801597
Arnt,Carhsp1,0.0,0.891035902155907
Arnt,Arhgap21,0.0,0.8822939373645049
Arnt,Ucp2,0.0,0.875178214922235
Arnt,Crispld2,0.0,2.42569764965218
Arnt,Slc30a1,0.0,-1.39168848941024
Arnt,Dlg5,0.0,0.989970317644924
Arnt,Apln,0.0,-1.10338197066874
Arnt,Samd14,0.0,1.5950711518504
Arnt,Gprc5b,0.0,-0.7016230972887181
Arnt,Akap2,0.0,1.47823920986839
Arnt,Kremen1,0.0,1.69404050316394
Arnt,Stk25,0.0,0.8464384043770179
Arnt,Icam1,0.0,4.63111401870137
Arnt,Gpx3,0.0,3.7430973872170097
Arnt,Cdc42se1,0.0,1.0875067012695
Arnt,Fbxo31,0.0,1.46063792234126
Arnt,Frem2,0.0,10.3335232968371
Arnt,Prkag2,0.0,-0.9332497804158872
Arnt,Psat1,0.0,-0.7248899356061921
Arnt,Ddc,0.0,3.26325856650662
Arnt,Ccnd2,0.0,-1.1383466281576298
Arnt,Cnr1,0.0,10.410477886812401
Arnt,Ece2,0.0,-1.43645023081247
Arnt,Fus,0.0,0.812904016463777
Arnt,Mgat3,0.0,1.15403424239312
Arnt,Cmpk2,0.0,1.4537401632435802
Arnt,Vim,0.0,1.04283160254037
Arnt,A4galt,0.0,8.93124873671773
Arnt,Mgll,0.0,-1.03205842204148
Arnt,Tle1,0.0,1.73221570133418
Arnt,Macf1,0.0,1.27608075609776
Arnt,Arhgef4,0.0,1.0076706764687
Arnt,Atl2,0.0,-0.759816515750407
Arnt,Insig1,0.0,-0.860140111025269
Arnt,Fos,0.0,1.6103347880854195
Arnt,Dusp4,0.0,11.919451844135699
Arnt,Myo1c,0.0,2.0591828554543703
Arnt,Ralgds,0.0,0.6903522483493439
Arnt,Efr3b,0.0,1.4774575891864898
Arnt,Irf7,0.0,4.64411515716393
Arnt,Gnb5,0.0,-1.03926833539802
Arnt,Stim1,0.0,1.3939442068072798
Arnt,Naxd,0.0,-0.80125570965034
Arnt,Cd109,0.0,2.42660773840739
Arnt,Kif5c,0.0,1.08166567606978
Arnt,Btbd3,0.0,-1.08567802849281
Arnt,Hey2,0.0,-1.0418375756059202
Arnt,Calm3,0.0,-0.728592497650667
Arnt,Mbp,0.0,0.797471944092313
Arnt,Ntsr2,0.0,-0.961959714372686
Arnt,Ednrb,0.0,-0.881761365266408
Arnt,Socs3,0.0,5.4946754004736515
Arnt,Zbtb16,0.0,1.47192898027774
Arnt,Angptl4,0.0,4.947794480935981
Arnt,Rasgrf2,0.0,9.384037811246893
Arnt,Aldh1l1,0.0,0.6522892071695879
Arnt,Ptprd,0.0,-0.7985554840154592
Arnt,Sv2b,0.0,-1.32938228397003
Arnt,Agap3,0.0,1.00657490112112
Arnt,Ak4,0.0,-1.44022385988045
Arnt,Rnps1,0.0,1.43072835214461
Arnt,Gfra1,0.0,0.961575595917075
Arnt,Gng12,0.0,0.927816888105086
Arnt,Cxcl12,0.0,2.3265033806034703
Arnt,Tspan4,0.0,2.2416618214981403
Arnt,Fam92b,0.0,-7.7064822179356085
Arnt,Dhcr7,0.0,-1.14849241913725
Arnt,Smad1,0.0,1.42213442890514
Arnt,Arhgap5,0.0,-0.9058576030339972
Arnt,Dbndd2,0.0,0.932035155605385
Arnt,Stat3,0.0,1.3668596545480298
Arnt,Ncan,0.0,-0.992477641760996
Arnt,Erp29,0.0,-0.7390299499039841
Arnt,Cic,0.0,0.804834952404368
Arnt,Col23a1,0.0,-0.7393322295944621
Arnt,Haghl,0.0,-0.8665455341132471
Arnt,Ifrd1,0.0,1.3652250445024898
Arnt,Slc44a1,0.0,-0.771875878282109
Arnt,Usp24,0.0,0.9273680786847008
Arnt,Retreg2,0.0,-0.633796933697056
Arnt,Man2a2,0.0,-0.720495980550523
Arnt,S1pr1,0.0,-0.745615569057519
Arnt,Tuba4a,0.0,-0.9561812419570508
Arnt,Reep1,0.0,-1.63622552694643
Arnt,Sgpp1,0.0,-1.12672600008357
Arnt,Maff,0.0,4.18596030472309
Arnt,Cp,0.0,2.45879445192537
Atf4,Nf2,1.41178457225921,1.63555732440299
Atf4,Atp5g1,1.41178457225921,-1.0338146298913802
Atf4,Chid1,1.41178457225921,-1.33717907206924
Atf4,Brd2,1.41178457225921,1.4230071474082802
Atf4,Ldha,1.41178457225921,-0.67443691654955
Atf4,Lgals3,1.41178457225921,1.2972872054254598
Atf4,Icam1,1.41178457225921,4.63111401870137
Atf4,Slc22a17,1.41178457225921,-0.6931653082683471
