term,genes
Ahr,Aldh1l1;Naxd;Slc44a1;Insig1;Rasgrf2;Prkag2;Arhgap21;Sv2b;Kif5c;Hey2;Ctnna1;Mbp;A4galt;Usp24;Tle1;Gpx3;Slc30a1;Fos;Efr3b;Sgpp1;Fbxo31;Crispld2;Dhcr7;Fam92b;Frem2
Ar,Steap3;Frmpd1;Plod2;Ifit1;Mylk;Sox2;Rph3a;Fads3;Golga4;Ccnd2;Adora1;Plce1;Hadh;Tgm2;Paqr8;Tle1;Entpd6;Col23a1;Cacna2d3;Kctd1;Slc30a1;Foxp4;Olfm1;Adam15;Col4a2;Crispld2;Eef1a2;Padi2;Vdac2;Fkbp9;Tagln3;Rtn2;Gria1;Macf1;Gpm6a;Sdc2;Zc3hav1;Socs3;Arhgap21;Sbno2;Ldha;Bag1;Tspan7;Abl1;Camta1;Mbp;Pltp;Snx5;Txndc5;Mcl1;Gadd45b;Iqsec1;Wfs1;Zbtb16;Tnk2;Msn;Fuz;Cherp;Ptprd;Qdpr;Marco;Mfhas1;P4ha1;Wnk2;Dlg5;Calm1;Bcl2l1;Itm2c;Fgfr1;Bmpr1a;Lgals3bp;Rtp4;Hip1;Tnfaip6;Slc44a1;Rasgrf2;Cltb;Prkag2;Hspb1;Arhgap5;Smg5;Akap13;Fyco1;Dner;Hey2;Tead3;Slc13a3;Kremen1;Ndufc2;Gfra1;Rhof;Fam126a;Tnfrsf1a;Erbin;Cldn10;Slc25a18;Rcn2;Irf1;Tmem35a;Rhoj;Pick1;Ergic3;Fjx1;Mgll;Ergic1;Itih5;Mvk;Hlf;Luzp2;Adcy2;Tspan33;Akap2;Gnai2;Sertad3;Ablim2;Olfml3;Cnr1;Atoh8;Mgat3;Flnc;Msx1;Ctnna2;Eps15;Mapk4;Farp1;Negr1;Stat1;Mboat2;Sorbs1;Tmco1;Nfasc;Snrk;Marcks;Gsta4;Psat1;Slc25a34;Tpt1;Pygb;Cdkn1a;Ahcyl1;Steap4;Txndc16;Trim8;Lgals3;Ndst1;Fads2;Eef2k;Mprip;Kif5c;Fth1;Capn5;Tspyl2;Brd2;Tspyl1;Mamstr;Pllp;Gpx3;Prkcd;Slc39a10;Fos;Asrgl1;Ptp4a2;Gprc5b;Map7d1;Cd109;Scg5;Ezr;Fkbp5;Slc22a4;Ddc;Lxn;Ahnak;Cebpd;Usp54;Cstf2t;Capg;Ptn;Fam129b;Cnn3;Tm9sf3;Mat2a;Myo6;S1pr1;Lrig1;Pnpo;Apod;Mark3;S100a11;Usp24;Smox;Coq7;Fbxo31;Stxbp5l;G6pc3;Adi1;Fabp7;Chpt1;Amotl2;Ramp1;Sfxn5;Rnf10;Ccnh;Kcnc3;Ece2;Nudt4;Glipr2;Senp8;Enpp2;Pgm5;Ifrd1;Omg;Osmr;Neat1;Cttn;Kctd10;Tmem33;Fez1;Sqstm1;Frem2;Insig1;Ntm;Atl2;Lmf1;Btbd3;Them4;Nrip3;Tmem176b;Cp;Efr3b;Sgpp1;Ehd3;Cxcl12;Alpl;Fat3;Vim;Sycp3;Prkag1;Vldlr;Tmem140;Ppp1r9b;Cd34;Wls;Il13ra1;Hmgn1;Rsad2;Rfx3;Tmc7;Lsr;Gab2;Ppp1r3g;Gap43;Stim1;Ifi27;Aplnr;Tmem9;Tshz1;Myl12a;Sel1l3;Rida;Btbd1;Tmem205;Tspan6;Ctnna1;Cyc1;Slc14a2;Btbd17;Cidea;Dhrs1;Hinfp;Eif1;Myo1c;Lcn2;Xaf1;Aldh1l1;Apip;Lamc1;Fnbp1l;Sirpa;Commd10;Shisa9;Tmem135;Cmpk2;Mxra7;Vgll3;Mtmr3;Sv2b;Mobp;Susd4;Spry2;Dbi
Arnt,Cdc42se1;Aldh1l1;Naxd;Slc44a1;Insig1;Rasgrf2;Prkag2;Arhgap5;Arhgap21;Sv2b;Mprip;Kif5c;Cnr1;Btbd3;Hey2;Ctnna1;Mbp;A4galt;Usp24;Dusp4;Tle1;Iqsec2;Gpx3;Slc30a1;Fos;Gng12;Cp;Efr3b;Sgpp1;Fbxo31;Cxcl12;Crispld2;Psat1;Dlg5;Dhcr7;Fam92b;Frem2
Ash2l,Ifitm3;Aldh1l1;Plxnd1;Ifit2;Sox2;Tgm1;Golga4;Gja1;Laptm4a;Ednrb;Peg13;Qk;Lgals9;Hadh;Map3k6;Tspyl2;Tle1;Tspyl1;Stard7;Tpm3;Prkcd;Taldo1;Rfx3;Sdhc;Foxp4;Tuba4a;Dctd;Eef1a1;Carhsp1;Stim1;Mia2;Fez1;Sbds;Padi2;Fkbp3;Atf4;Macf1;Pdxdc1;Anapc16;Lpar1;Pla2g7;Socs3;Nkain4;Mobp;Dhrs7b;1110051m20rik;Abl1;Tspan4;Pnpo;Apod;Cd14;Pltp;Txndc5;Mcl1;Rpl41;Gadd45b;Ephx2;Tnk2;Idh2;Cidea;Ifi47;Mt1;Ehd3;Slc6a8;P4ha1;Reep3;Etl4;Maff;Alpl;Amotl2;Rnps1;Dhcr7;Nf2;Rgl1;Calm1;Bcl2l1;Fgfr1;Tnfaip6;Cltb;Prkag1;Hspb1;Lamc1;Arhgap5;Ggta1;Larp1b;Trim8;Sgce;Rbm3;Tmem47;Arl5c;Timp3;A4galt;Enoph1;Dusp4;Commd10;Slc39a10;Ndufc2;Gfra1;Rhof;Ampd3;Erbin;Ptp4a2;Gap43;Tst;Tmem33;Hap1;Gas5;Ergic1;Vgll3;Kank1;Ddc;Cebpd;Atl2;Cstf2t;Capg;Ptn;Tspan33;Akap2;Gnai2;Fam129b;Tspan31;Lao1;Olfml3;Tmem205;Mgat3;Spp1;Lrig1;Flnc;Jam2;Spen;Mog;Stat1;Cmtm5;Def8;Mlh3;Tmco1;Hinfp;Slc4a8;Tmem59;Marcks;Dhrs7;Gsta4;Spry2;Chpt1;Cdo1;Tpt1
Asxl1,Pigs;Cuedc2;H2-q4;Rnf7;Nudt4;Tm9sf3;Trim8;Fads3;Prdx2;Nln;Fth1;Flot1;S1pr1;Myo18a;Cdc37l1;Junb;Kpna3;Parp3;Slc39a10;Rfx3;Neat1;Psmb8;Hinfp;Eef1a1;Mob4;Ctdsp2;Kansl3;Calr;H2-d1
Atf3,Steap3;Midn;Plxnd1;Plod2;Tmem140;Sat1;Ifit3;Mylk;Ifit2;Sox2;Ndst1;Laptm4a;Capn2;Synpo;Tgm2;Paqr8;Gbp5;Gabarapl1;Mbnl2;Entpd6;Ifrd1;Neat1;Eef1a1;Ppp1r3g;Carhsp1;Col4a2;Cd109;S100a6;Sbds;Mxra7;Sqstm1;Cdc42se1;Osgep;Sbno2;Ldha;Rras;Bag1;Abl1;Pnpo;Mbp;Pltp;Ralgds;Snx5;Mcl1;Smad1;Rpl41;Gadd45b;Iqsec2;Iqsec1;Fbxo31;Eif1;Mfhas1;Dlg5;Rcan2;Maff;Plekhm2;Mafk;Amotl2;Nf2;Nit1;Xaf1;Calm1;Bcl2l1;Eif4g1;Pygb;Cdkn1a;Tinagl1;Hspb1;Hrct1;Vldlr;Atp5g1;Cyr61;Map1lc3b;Arl5c;Glipr2;Adamts1;Tmsb4x;Nfkbiz;Flot1;Cd34;Dusp4;Brd2;Gpx1;Tnfrsf12a;Gpx3;Tmc7;Ampd3;Tnfrsf1a;Ptp4a2;Slc25a18;Ndufs7;Rhoj;Rdh5;Cdc42ep1;Gas5;Ergic1;Ppp1r15a;Amigo2;Akap2;Fam129b;Tspan31;Tm9sf3;Fam120c;Tmem205;Susd4;Spp1;Lrrc8a;Gbp2;Eps15;Stat3;Mlh3;Asxl1;Gsta4;Clcf1;Spry2;Vim;Eif3f;Lgals3bp;Cuedc2;Col16a1;Ppp1r9b;Trim8;Lgals3;Chchd3;Mprip;Snapc2;Dner;Me1;Myo18a;Phgdh;Cic;Unc13a;Mamstr;Fos;Slc39a14;Ctdsp2;Erp29;Angptl4;Fkbp5;Agpat5;Insig1;Slc1a4;Usp18;Psmb10;Hdac7;Cnn3;Coro1c;Sel1l3;Rdh12;Lrig1;Camta1;Cd14;Flnc;Msx1;Ip6k1;Fuz;Coq7;Col1a1;Cxcl12;Rnps1;Ramp1;Itm2c
Auts2,Tnfaip6;Usp54;Sdc2;Agpat1;Larp1b;Cnn3;Fads3;Trim9;Klc3;Capn5;Me1;Ctnna1;Camta1;Anxa7;Lgals9;Hadh;Cic;Synpo;Usp24;Gbp5;Fus;Rasl10b;Ndufc2;Efr3b;Marco;Gjb2;Ehd3;Col4a2;Arhgef4;Vdac2;Calm3;Thrsp;Dhcr7
Bach1,Aldh1l1;Steap4;Tnfaip6;Pros1;Prkag2;Dbi;Rlbp1;Icam1;Amot;Gja1;Ccnd2;Ednrb;Kif5c;Mdk;Mpz;Hey2;Me1;Timp3;Pgm5;Timp1;Junb;Cavin1;Tgm2;Il13ra1;Tspyl2;Slc13a3;Myoc;Omg;Cacna2d3;Rfx3;Ampd3;Osmr;Rab33b;Olfm1;Gprc5b;Crispld2;Eef1a2;Pmp2;Hap1;Angptl4;Itih5;Gria1;Ahnak;Cebpd;Sdc2;Gdpd2;Man2a2;Mgat3;Abl1;Mbp;Apod;Msx1;Jam2;Ntsr2;Gdf10;Cidea;Fabp7;Nf2;Calm1;Cdo1;Fgfr1
Bcl3,Ywhae;Lrrc59;Ndufa13;Ndufb10;Hjurp;Apip;Hr;Lamc1;Cox5a;Cyr61;Osgep;Rph3a;Srr;Retreg2;Map1lc3b;Laptm4a;Arl5c;Dbp;Mat2a;Fth1;Them4;Anxa7;Lrrc8a;Tspyl2;Spen;Dusp4;Rpl41;D8ertd738e;Negr1;Fus;Neat1;Ptgr2;Ddost;Cherp;Hinfp;Spcs2;Pfkl;Marcks;Carhsp1;Erp29;Spry2;Tmem9;Eif3f;Ergic3;Gas5;Fkbp3
Bcl6,Lgals3bp;Rtp4;Slc35b2;Col16a1;Hip1;Plxnd1;Ccnh;Txndc15;Trim8;Rbm3;Trim9;Retreg2;Cic;Cd34;Cavin1;Endog;Paqr7;Myoc;Stard7;Pllp;Prkcd;Col23a1;Cacna2d3;Cybb;Tmc7;Asrgl1;Rab33b;Eef1a1;Olfm1;Map7d1;Irf1;Aspg;S100a6;Slc25a5;Ezr;Mgll;Ergic1;Ppard;Hdac2;Hlf;Pdxdc1;Slc43a3;Usp54;Sema3g;Lcat;Capg;Slc1a4;Osgep;Myl12a;Gnai2;Clec3b;Sertad3;Ptdss1;Dhrs7b;Atoh8;Them4;Apod;Cd14;Ip6k1;S100a11;Txndc5;Ntsr2;Egln2;Iqsec1;Vta1;Coq7;Fbxo31;Bst2;Sqle;Spcs2;Gjb2;Alpl;Plekhm2;Fxyd6;Sfxn1;Ramp1;Sfxn5;Itm2c;Bmpr1a;Ywhae;Pigs;Ndufa11;Ptprn;Kcnc3;Triobp;Eef2k;Lgals1;Glipr2;Map3k6;Synpo;Junb;Tgm2;Il13ra1;Tsc22d4;Parp3;Entpd6;Neat1;Ppp1r3g;Carhsp1;Irf7;Cdc42ep1;Pmp2;Fam92b;Ctxn1;Rtn2;Tbc1d9b;Atl2;Rida;Prdx2;Nkain4;Galr3;Tmem205;Tspan4;Tppp;Vhl;Slc38a3;Ralgds;Farp1;Tmem176b;Tmem176a;Fuz;Mlh3;Tmco1;Apln;Mfhas1;Dbndd2;Pfkl;Stk25;Clcf1;Bcl3;Lcn2;Echdc3;Calm3;Ypel3;Pnpla2
