Gene.Symbol,Refseq_ID,logFC
Lcn2,Lcn2,12.371630276885801
2410004n09rik,Epb41l4aos,12.264677254005802
Galr3,Galr3,12.2206041016522
Mustn1,Mustn1,11.9248577206599
Dusp4,Dusp4,11.919451844135699
Hrct1,Hrct1,11.8737013234065
Slc14a2,Slc14a2,11.8718025522511
Steap4,Steap4,11.746752203133399
Serpina3m,Serpina3m,11.593024877299301
Lrg1,Lrg1,11.588549376058399
Zbtb42,Zbtb42,11.416868440338499
Ifi204,Ifi204,11.264922485917802
Vgll3,Vgll3,11.2357202213766
Apoh,Apoh,11.168079310642
Saa3,Saa3,11.1665523185731
Irak3,Irak3,11.132487163413598
Lao1,Lao1,11.038318162328599
Mamstr,Mamstr,11.022911126020201
B230208h11rik,B230208h11rik,10.925147424695199
5730508b09rik,Fam241a,10.8448927146647
Lsr,Lsr,10.778633268895302
Ttll9,Ttll9,10.6856363187125
Tinagl1,Tinagl1,10.6386377797806
Cnr1,Cnr1,10.410477886812401
Frem2,Frem2,10.3335232968371
Tgm1,Tgm1,10.1166466916957
Marco,Marco,10.0887272219179
Clcf1,Clcf1,9.961745704909971
Sbsn,Sbsn,9.923614269587961
Urb1,Urb1,9.90348891516642
1700086o06rik,1700086o06rik,9.85730544451896
Lgals9,Lgals9,9.82681013993358
Sertad3,Sertad3,9.81153668682666
Sema3g,Sema3g,9.78465834540466
Serpina3f,Serpina3f,9.7555343478304
Cybb,Cybb,9.52567793251736
Serpina3h,Serpina3h,9.51492912809462
Chd3os,Rnf227,9.450089010634919
Rasgrf2,Rasgrf2,9.384037811246891
Cd14,Cd14,9.002505156798222
Gbp5,Gbp5,8.94815021584672
Hinfp,Hinfp,8.94335862073595
A4galt,A4galt,8.93124873671773
Nrip3,Nrip3,8.84132010809852
Rhof,Rhof,8.74720842503346
Rsad2,Rsad2,8.69825487907841
A730017l22rik,A730017l22rik,8.52023416937863
Ifi47,Ifi47,8.44448354511911
Tmem140,Tmem140,8.12745866875219
Oasl1,Oasl1,8.02120593373384
Stxbp5l,Stxbp5l,7.81358066590232
C1ra,C1ra,7.63573026729764
Tom1,Tom1,7.47336490877846
Klc3,Klc3,6.6809538943179
Timp1,Timp1,6.605256603061661
Adamtsl2,Adamtsl2,6.284743136992719
Il13ra1,Il13ra1,5.90093880402698
Socs3,Socs3,5.494675400473651
Acot10,Acot10,5.48541282043975
Serpina3n,Serpina3n,5.43148641226341
Hspb1,Hspb1,5.06801252327358
Angptl4,Angptl4,4.947794480935981
Map3k6,Map3k6,4.88131069390877
Irf1,Irf1,4.83797241645297
