term,genes
Ahr,Pigs;Aldh1l1;Rarg;Tinagl1;Plxnd1;Ndufa11;Kcnc3;Tecr;Txndc16;Ifit3;Mrpl41;Retreg2;9-sep;Slc22a17;Adamtsl2;Nfkbiz;Tspyl2;Tsc22d4;Gabarapl1;Gpx1;Mamstr;Kremen1;Lsr;Shisa9;Rab33b;Carhsp1;Adam15;Ifi27;Map7d1;Aplnr;Pmp2;Hacd3;Cd302;Angptl4;Ezr;Hlf;Lrp1;Anapc16;Usp18;Nln;Sbno2;Mgat3;Tspan4;Them4;Tspan3;Cyc1;Farp1;Slc14a2;Egln2;Iqsec1;Mboat2;Eif2ak2;Asxl1;Qdpr;Slc4a8;Nfasc;Pfkl;Slc6a8;Clcf1;Maff;Alpl;Dhcr7;Gnb5
Ap1,Sqle;Plxnd1;Col4a2;Iqsec2;Etl4;Anxa7;Calm3;Sfxn1;Tmem9b;Hdac7
Arnt,Ncan;Prkag2;Ece2;Icam1;Retreg2;Samd14;Ednrb;Cic;Col23a1;Ifrd1;Kremen1;Gfra1;Fos;Gprc5b;Carhsp1;Stim1;Cd109;Ctdsp2;Erp29;Irf7;Arhgef4;Cmpk2;Mgll;Ddc;Atl2;Ak4;Agap3;Akap2;Sertad3;Sv2b;Man2a2;Ucp2;Mgat3;Tspan4;Ralgds;Txndc5;Ntsr2;Smad1;Fus;Zbtb16;Stat3;Haghl;Efr3b;Fbxo31;Apln;Ptprd;Reep1;Dbndd2;Stk25;Maff;Calm3;Rnps1;Dhcr7;Gnb5;Eif4g3
Atf1,Exd2;Brd2;Slc13a3;Iqsec1;Fam107a;Prkag2;Slc39a14;Sertad3;Lrig1;Them4;Phgdh;Rnps1;Nit1;Ypel3
Atf2,Arl6ip1;Kcnc3;Cltb;Apip;Dbi;Plod2;Rbm3;Laptm4a;Chchd3;Fnta;Dner;Tmed2;Plce1;Pamr1;Chid1;Paqr8;Slc13a3;Rsad2;Commd10;Prkcd;Amt;Ampd3;Fos;Dnm1;Asrgl1;Dctd;Ptp4a2;Gap43;Cttn;Cd109;Erp29;Erf;Vamp1;Ppard;Atp6v1a;Exd2;Luzp2;Lrtm2;Drp2;Cnr1;Dhrs7b;Tspan7;Mgat3;E2f5;Snx5;Farp1;Stat1;Smox;Fus;Nfasc;Cops6;Lrg1;Rcan2;Rnps1
Atf4,Aldh1l1;Midn;Ahcyl1;Cltb;Fam107a;Prkag2;Fnbp1l;Atp5g1;Icam1;Tmem147;Dbp;Kif5c;Slc22a17;Synpo;Chid1;Tspyl2;Brd2;Slc13a3;Gabarapl1;Mamstr;Metrn;Ifrd1;Kctd1;Irak3;Fos;Ppa2;Mxra7;Fkbp3;Fkbp5;Ppp1r15a;Mvk;Cstf2t;Rnf7;Tns2;Fam129b;Ldha;Atoh8;Lrig1;Cdc37l1;Lrrc8a;Snx5;Ntsr2;Slc35a2;Smad1;Tmem86a;Gadd45b;Cmtm5;Stat3;Dhrs1;Coq7;Reep1;Gsta4;Reep5;Maff;Calm3;Rnps1;Nf2;Nit1;Cdo1
Bcl6,Ccnh;Aqp4;Fnbp1l;Atp5g1;Amot;Ccnd2;Dner;Nfkbiz;Adora1;Enpp2;Plce1;Synpo;Chid1;Dusp4;Endog;Gpx1;Mbnl2;Myoc;Gpx3;Entpd6;Omg;Slc39a10;Rfx3;Asrgl1;Mia2;Tmem33;Hlf;Cebpd;Slc43a3;Kcna1;Cstf2t;Osgep;Drp2;Socs3;Sv2b;Rdh12;Btbd3;Tspan3;Ralgds;Mog;Eif2ak2;Fuz;Cp;Mlh3;Ptprd;Slc4a8;Cxcl10;Mfhas1;Dbndd2;Ehd3;Gsta4;P4ha1;Fat3;Fxyd6;Eif3f;Rgl1;Fcgr2b
Brca1,Rnf10;Ndufa13;Eci1;Hjurp;Hrct1;Cyr61;Triobp;Lgals3;Fads2;Bcl7a;Adamtsl2;Flot1;Lgals9;Synpo;Junb;Kpna3;Chid1;Brd2;Parp3;Tle1;Shisa5;Tmc7;Ampd3;Fam126a;Arhgef4;Vamp1;Rdh5;Fam92b;Exd2;Kank1;Usp54;Insig1;Lrtm2;Slc1a4;Ak4;Zc3hav1;Slc5a3;Sel1l3;Nkain4;Klc3;Sertad3;Ldha;Cnr1;Tceal3;Ip6k1;Ralgds;Mark3;Mcl1;Smox;Lgi3;Tnk2;Def8;Apln;Reep1;Dbndd2;Snrk;Znfx1;Myo1c;Dlg5;Slc25a34;Bcl2l1;Fgfr1
Cacybp,Ifitm3;Mtch1;Synm;Rarg;Ndufa11;Hrct1;Ifit1;Cyr61;Rph3a;Sgce;C4b;Golga4;Slc22a17;Senp8;Adamtsl2;Car14;Cic;Synpo;Hmgn1;Chid1;Tspyl2;Paqr8;Unc13a;Kremen1;Icosl;Rhof;Tnfrsf1a;Tapbp;Dctd;Erbin;Cldn10;Gap43;Crispld2;Fez1;Gpd1;Aplnr;Plin4;Arhgef4;Padi2;Vdac2;Pmp2;Mgll;Rtn2;Gria1;Mvp;Lrtm2;Capg;Tns2;Sbsn;Agpat1;Prdx2;Ldha;Fam120c;Dhrs7b;Atoh8;Abl1;Camta1;Smyd1;Sc5d;Tppp;Slc38a3;Pltp;Btbd17;Rasl10b;Tmem176b;Mboat2;Def8;Bst2;Slc4a8;Slc6a8;Reep5;Psat1;Clcf1;Etl4;Ppp1r1b;Lcn2;Chpt1;Gnb5;Nit1;Calm1;Steap3;Midn;Ahcyl1;Col16a1;Prkag1;Prkag2;Larp1b;Tgm1;Ndst1;Ccnd2;Lgals1;Mdk;Fth1;Capn5;Timp1;Cavin1;Tle1;Stard7;Mamstr;Metrn;Cacna2d3;Ddost;C1ql1;Fndc5;Carhsp1;Tst;Map7d1;Eef1a2;Irf7;Rdh5;Fam92b;Ctxn1;Irf9;Fkbp5;Itih5;Naxd;Lcat;Adcy2;Ak4;Gnai2;Sel1l3;Arhgap21;Sbno2;Tspan4;Gadd45b;Mtx1;Tnk2;Haghl;Dbndd2;Pfkl;Cxcl12;Myo1c;Col5a3;Bcl3;Calm3;Slc25a34;Ramp1
Cbepa,Rarg;Col16a1;Lamc1;Tmem140;Triobp;Trim8;Sox2;C4b;Samd14;Dbp;Ednrb;Mdk;Adora1;Junb;Wls;Sun2;Brd2;Parp3;Tle1;Gpx1;Mbnl2;Arid5a;Shisa5;Ampd3;Shisa9;Dnm1;Rnf126;S100a6;Vdac2;Nupr1;Fam92b;Lrp1;Amigo2;Atl2;Gdpd2;Ptn;Tns2;Pla2g7;Sel1l3;Sult1a1;Atoh8;Tspan7;4-sep;Eps15;Rasl10b;Myo1c;Reep5;Clcf1;Bcl3;Ppp1r1b;Plekhm2;Thrsp;Amotl2;Eif4g3;Tpt1;Fgfr1
