term,genes
Arid1b,Alpl;Fos
Arnt,Angptl4;Ccnd2;Macf1;Myo1c;S1pr1;Socs3;Tuba4a;Vim
Atf4,Atf4;Calr;Cdkn1a;Lgals3;Map1lc3b;Mcl1;Nupr1;Osmr;Phgdh;Psat1;Slc1a4;Slc38a3;Stat3;Tnfrsf12a;Wfs1
Atn1,Cnr1;Dbp;Kcna1;Kcnc3;Mobp;Nrep;Nsg2;Prkcd;Spp1;Tagln3;Thrsp;Tuba4a
Bach1,Fth1;Me1;Spp1;Sqstm1
Bcl11b,Adora1;Cdkn1a;Gria1;Pcp4l1;Plxnd1;Ppp1r1b;Zbtb16
Brca1,Bcl2l1;Cdkn1a;Enpp2;Ezr;Fkbp5;Gadd45b;Hspb1;Ifit2;Ifit3;Irf7;Pltp;Sat1;Stat1;Vim
Calr,Calm1;Cdkn1a;Col1a1;Cttn;Gja1;Icam1
Carm1,Cdkn1a;Cxcl10;Ephx2;Fos;Fth1;Icam1;Igfbp4
Ccnh,Ccnh;Cdkn1a;Msx1;Ucp2
Cebpa,Apln;Aplnr;Atf4;Ccnd2;Cd14;Cdkn1a;Cebpd;Col1a1;Ctnna1;Dhcr7;Eef1a2;Fos;Gja1;Icam1;Igfbp4;Junb;Lcn2;Lgals1;Nf2;Plod2;Plxnd1;Ppard;Saa3;Sbsn;Socs3;Spp1;Steap4;Tnfaip6;Tnfrsf1a;Vldlr
Cebpb,Apln;Aplnr;Bcl2l1;Ccnd2;Cd14;Cdkn1a;Cdo1;Cebpd;Col1a1;Cp;Dhcr7;Dhrs1;Fos;Glipr2;Icam1;Ifitm3;Igfbp4;Irf9;Lamc1;Lcn2;Nfkbiz;Nupr1;Plxnd1;Ppard;Prkcd;Saa3;Sat1;Sbsn;Socs3;Spp1;Stat3;Tmem176a;Tmem176b;Tnfaip6;Tnfrsf1a;Vim;Vldlr;Zyx
Clock,Ak4;Angptl4;Cnih1;Dbp;Eef2k;Fabp7;Fam107a;Fkbp5;Gadd45b;Gja1;Icam1;Itm2c;Junb;Kctd1;Mapk4;Mylk;Nadk2;Ntsr2;Rcn2;Srr;Tspan4
Creb1,Ak4;Akap13;Bcl2l1;Brinp2;Capn5;Cdkn1a;Cebpd;Ctnna2;Cyr61;Fos;Gadd45b;Gap43;Gfra1;Gria1;Irf7;Junb;Lcn2;Ldha;Mat2a;Mcl1;Midn;Mvk;Nrep;Omg;Ptprn;Sat1;Sqstm1;Stat3;Tom1;Tpt1;Vim
